"Source","Quantité à produire"
"DC2510.42995 RM1380BS #11 / [XX20682] Barre de liaison alu Ø 35x2 lg 917mm + 2 embouts alu + 2 rotules BEMI10 (D/G) Entraxe rotule:1033mm RM1380 BS / MO/99191 / [ALB35 x 2 - 917] Tube Aluminium pour barre de liaison Ø 35x2 lg: 917mm","2.0"
"DC2510.42997 RM1380BS #12 / [XX20682] Barre de liaison alu Ø 35x2 lg 917mm + 2 embouts alu + 2 rotules BEMI10 (D/G) Entraxe rotule:1033mm RM1380 BS / MO/99229 / [ALB35 x 2 - 917] Tube Aluminium pour barre de liaison Ø 35x2 lg: 917mm","2.0"
"DC2512.43490 P36 N°126 À 130 / [XX8745] Barre de liaison alu Ø 40x2 lg 2044mm + 2 embouts alu +2 tiges filetées + 2 rotules BEFI10 (D/G) POGO36 / MO/101575 / [ALB40 x 2 - 2044] Tube Aluminium pour barre de liaison Ø 40x2 lg: 2044mm","5.0"
"DC2512.43493 BA5SA / [5000160] Barre de liaison Ø 50x2 (2x2442mm) + manchon à ajuster et assembler + embouts + BEMI12 (D/G) -  BALI 5.2 (BA5SA) / MO/101593 / [ALB50 x 2 - 2442] Tube Aluminium pour barre de liaison Ø 50x2 lg: 2442mm","8.0"
"DC2512.43447 OQS 62 - 02 / [XX35430] Barre de liaison alu Ø 40x2 lg 1549mm + 2 embouts alu anodisés noirs+ 2 rotules BEMI12 (G/D) - pour fausse mèche/chariot OQS62 / MO/102022 / [ALB40 x 2 - 1549] Tube Aluminium pour barre de liaison Ø 40x2 lg: 1549mm","2.0"
"DC2512.43447 OQS 62 - 02 / [XX35431] Barre de liaison alu Ø 40x2 lg 1240mm + 2 embouts alu anodisés noirs + 2 rotules BEMI12 (G/D) - pour safran/fausse mèche OQS62 / MO/102027 / [ALB40 x 2 - 1240] Tube Aluminium pour barre de liaison Ø 40x2 lg: 1240mm","2.0"
"DC2512.43572 JPK 10.50 n°14 + 15 + 16 / [XX34762] Barre de liaison alu Ø35x2 lg 820mm anodisée noire + 2 embouts alu anodisés noirs + 2 tiges filetées lg100mm + 2 rotules BEFI 10 (D/G) JPK10.50 / MO/101894 / [ALB35 x 2 - 820 (N)] Tube Aluminium anodisé noir pour barre de liaison Ø 35x2 lg: 820mm","6.0"
